,CAS,CAS_primary,CFR,CODEX ALIMENTARIUS (GSFA),DEA NO.,DRUG BANK,ECHA (EC/EINECS),EMA ASSESSMENT REPORTS,EPA PESTICIDE CODE,EVMPD,"Food Contact Sustance Notif, (FCN No.)",INN,IUPHAR,JECFA EVALUATION,JECFA MONOGRAPH,LIVERTOX,MERCK INDEX,MESH,NCI_THESAURUS,NDF-RT,RXCUI,UNII,WHO INTERNATIONAL PHARMACPOEIA,WHO-ATC,WHO-ESSENTIAL MEDICINES LIST,WHO-VATC,WIKIPEDIA,mixture_UNII,names,preferred_names,substanceClass,uuid,PT_from_unii,RN_from_unii,EC_from_unii,NCIT_from_unii,RXCUI_from_unii,ITIS_from_unii,NCBI_from_unii,PLANTS_from_unii,GRIN_from_unii,INN_ID_from_unii,MF_from_unii,INCHIKEY_from_unii,SMILES_from_unii,UNII_TYPE_from_unii,qid_cas,qid_unii,inchikey_from_wd,inchikey
19,25394-63-2,25394-63-2,,,,,,,,,,,,,,,,,,,,WZS9L0Z92R,,,,,,,"AMFECLORAL, (+)-|(+)-AMFECLORAL|BENZENEETHANAMINE, .ALPHA.-METHYL-N-(2,2,2-TRICHLOROETHYLIDENE)-, (+)-","AMFECLORAL, (+)-",chemical,001487f1-962d-4ec0-8052-2d648f8f4cb3,"AMFECLORAL, (+)-",25394-63-2,,,,,,,,,C11H12Cl3N,,CC(Cc1ccccc1)/N=C/C(Cl)(Cl)Cl,INGREDIENT SUBSTANCE,,,,
51,71939-50-9,71939-50-9,,,,,,EURARTESIM (AUTHORIZED: MALARIA),,SUB30709,,7777.0,,,,,M2077,C039060,C87432,,,6A9O50735X,ARTENIMOL,P01BF05|P01BE05,,,DIHYDROARTEMISININ,,"ARTENIMOL|(3R,5AS,6R,8AS,9R,10S,12R,12AR)-DECAHYDRO-3,6,9-TRIMETHYL-3,12-EPOXY-12H-PYRANO(4,3-J)-1,2-BENZODIOXEPIN-10-OL|DIHYDROARTEMISININ|3,12-EPOXY-12H-PYRANO(4,3-J)-1,2-BENZODIOXEPIN-10-OL, DECAHYDRO-3,6,9-TRIMETHYL-, (3R,5AS,6R,8AS,9R,10S,12R,12AR)-|ALAXIN|COTECXIN|COTEXIN|DIHYDROQINGHAOSU|DYNAMAX|SANTECXIN|ARTEMETHER RELATED COMPOUND A|.BETA.-DIHYDROARTEMISININ|SALAXIN|DI-HYDROQINGHAOSU|EURARTESIM COMPONENT DIHYDROARTEMISININ|DIHYDROARTEMISININE|أرتينيمول|arténimol|artenimolum|青蒿醇|artenimol|артенимол|ARTENIMOLUM",ARTENIMOL,chemical,00388f4f-0a17-4ea3-8fc1-0b965f518882,ARTENIMOL,71939-50-9,,C87432,,,,,,7777.0,C15H24O5,BJDCWCLMFKKGEE-ISOSDAIHSA-N,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,INGREDIENT SUBSTANCE,Q5276420,Q5276420,BJDCWCLMFKKGEE-KWWHLYHASA-N,
75,1314-97-2,1314-97-2,,,,,215-250-8,,,,,,,,,,M10689,,,,,W63QXT8PYG,,,,,,,THALLIUM SULFIDE|THALLIUM SULFIDE (TL2S)|DITHALLIUM MONOSULFIDE|DITHALLIUM SULFIDE|DITHALLIUM(1+) SULFIDE|THALLOUS SULFIDE,THALLOUS SULFIDE,chemical,00668977-cda9-44ee-a3af-6d5ecd57a5f3,THALLOUS SULFIDE,1314-97-2,215-250-8,,,,,,,,S.2Tl,BXJGLLKRUQQYTC-UHFFFAOYSA-N,[S-2].[Tl+].[Tl+],INGREDIENT SUBSTANCE,Q2983921,Q2983921,YYOMHJQQXKRHAM-UHFFFAOYSA-N,
80,116002-72-3,116002-72-3,,,,,,,,,,,,,,,,,,,,4XZ3RL53CZ,,,,,,,"3-FLAVANOL, CIS-|3-FLAVANOL, CIS-(+/-)-|2H-1-BENZOPYRAN-3-OL, 3,4-DIHYDRO-2-PHENYL-, CIS-","3-FLAVANOL, CIS-",chemical,0069697b-4086-4ba2-83fa-0929b6c54225,"3-FLAVANOL, CIS-",116002-72-3,,,,,,,,,C15H14O2,,c1ccc(cc1)[C@@H]2[C@@H](Cc3ccccc3O2)O,INGREDIENT SUBSTANCE,,,,
98,16711-32-3,,,,,,,,,,,,,,,,,,,,,88982OXQ0A,,,,,,,"6,8-DICHLORO-2-PHENYL-ALPHA-2-PIPERIDYL-4-QUINOLINEMETHANOL|4-QUINOLINEMETHANOL, 6,8-DICHLORO-2-PHENYL-.ALPHA.-2-PIPERIDINYL-|4-QUINOLINEMETHANOL, 6,8-DICHLORO-2-PHENYL-.ALPHA.-2-PIPERIDYL-|SN 10275|WR 79301|WR-79301|SN-10275",SN-10275,chemical,0081a899-90d4-4fe6-ae32-407af33f493d,SN-10275,16711-32-3,,,,,,,,,C21H20Cl2N2O,,c1ccc(cc1)c2cc(c3cc(cc(c3n2)Cl)Cl)[C@@H]([C@H]4CCCCN4)O,INGREDIENT SUBSTANCE,,Q27269907,,
101,16842-03-8,16842-03-8,,,,,,,,,,,,,,,,,,,,33B757V1YU,,,,,COBALT TETRACARBONYL HYDRIDE,,"COBALT CARBONYL HYDRIDE|COBALT HYDROCARBONYL|COBALT, TETRACARBONYLHYDRO-|COBALT HYDROCARBONYL (COH(CO)4)|COBALT TETRACARBONYL HYDRIDE|HYDRIDOCOBALT TETRACARBONYL|HYDRIDOTETRACARBONYLCOBALT|HYDROCOBALT TETRACARBONYL|TETRACARBONYLHYDRIDOCOBALT|TETRACARBONYLHYDROCOBALT",COBALT HYDROCARBONYL,chemical,00829241-93a3-44ac-9abc-44f885968e74,COBALT HYDROCARBONYL,16842-03-8,,,,,,,,,4CO.Co.H,DKIAHBAUIPRGJC-UHFFFAOYSA-N,[H-].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Co+],INGREDIENT SUBSTANCE,Q410517,Q410517,OIQOECYRLBNNBQ-UHFFFAOYSA-N,
146,66899-87-4,66899-87-4,,,,,,,,,,,,,,,,,,,,1214RHT70G,,,,,,,"4H-BENZO(A)QUINOLIZINE, 3-ETHYL-1,6,7,11B-TETRAHYDRO-9,10-DIMETHOXY-2-(((1R)-1,2,3,4-TETRAHYDRO-6,7-DIMETHOXY-1-ISOQUINOLINYL)METHYL)-, (11BR)-REL-|EMETAN, 2,3-DIDEHYDRO-6',7',10,11-TETRAMETHOXY-, (1'.BETA.)-(+/-)-|(+/-)-2,3-DIDEHYDROISOEMETINE|DEHYDROISOEMETINE, (+/-)-","DEHYDROISOEMETINE, (+/-)-",chemical,00c30b82-2d63-4876-8350-50832c4e8b36,"DEHYDROISOEMETINE, (+/-)-",66899-87-4,,,,,,,,,C29H38N2O4,,CCC1=C(C[C@H]2c3cc(c(cc3CCN2C1)OC)OC)C[C@H]4c5cc(c(cc5CCN4)OC)OC,INGREDIENT SUBSTANCE,,,,
162,90242-86-7|73365-47-6|72244-00-9,90242-86-7,,,,,,,,,,,,,,,,,,,,J51L7OP374,,,,,,,"3-BUTEN-2-ONE, 4-((1R,3R)-2,2,3-TRIMETHYL-6-METHYLENECYCLOHEXYL)-, (3E)-REL-|3-BUTEN-2-ONE, 4-(2,2,3-TRIMETHYL-6-METHYLENECYCLOHEXYL)-, (1.ALPHA.(E),3.BETA.)-|TRANS-.GAMMA.-IRONE|.GAMMA.-IRONE, TRANS-(+/-)-",".GAMMA.-IRONE, TRANS-(+/-)-",chemical,00d4e6a8-8944-4267-85e1-54274e2aee38,".GAMMA.-IRONE, TRANS-(+/-)-",90242-86-7,,,,,,,,,C14H22O,,C[C@@H]1CCC(=C)[C@H](C1(C)C)/C=C/C(=O)C,INGREDIENT SUBSTANCE,,,,
165,286-20-4,286-20-4,,,,,206-007-7,,,,,,,,,,,,,,,1XYE04C550,,,,,,,"CYCLOHEXENE EPOXIDE|1,2-EPOXYCYCLOHEXANE|CYCLOHEXANE, 1,2-EPOXY-|CYCLOHEXENE 1-OXIDE|CYCLOHEXENE-1-OXIDE|CYCLOHEXYLENE OXIDE|NSC-128074|TETRAMETHYLENEOXIRANE|2,3-TETRAMETHYLENEOXIRANE|CYCLOHEXENE, OXIDE|NSC-5218|1,2-EPOXYCYCLOHEXANE, CIS-|7-OXABICYCLO(4.1.0)HEPTANE, CIS-|CYCLOHEXENE OXIDE, CIS-|CYCLOHEXENE OXIDE|1,2-CYCLOHEXENE OXIDE",CYCLOHEXENE OXIDE,chemical,00d6818e-f307-437a-9706-dcfe4d6904c7,CYCLOHEXENE OXIDE,286-20-4,206-007-7,,,,,,,,C6H10O,ZWAJLVLEBYIOTI-OLQVQODUSA-N,C1CC[C@H]2[C@@H](C1)O2,INGREDIENT SUBSTANCE,Q2750068,Q2750068,ZWAJLVLEBYIOTI-UHFFFAOYSA-N,
169,100-59-4,100-59-4,,,,,202-868-8,,,,,,,,,,M8679,,,,,739Y484F5H,,,,,,,"PHENYLMAGNESIUM CHLORIDE|CHLOROPHENYLMAGNESIUM|MAGNESIUM, CHLOROPHENYL-",PHENYLMAGNESIUM CHLORIDE,chemical,00dd014b-7d56-4268-8c5e-0ebdec700573,PHENYLMAGNESIUM CHLORIDE,100-59-4,202-868-8,,,,,,,,C6H5Mg.Cl,GQONLASZRVFGHI-UHFFFAOYSA-M,c1ccc(cc1)[Mg+].[Cl-],INGREDIENT SUBSTANCE,Q1403365,Q1403365,IWCVDCOJSPWGRW-UHFFFAOYSA-M,
